450 931
1 435 15.99
3 416 8.58
5 122 11.03
7 419 16.54
8 242 16.80
8 317 3.49
9 416 3.59
11 265 7.11
12 414 8.05
12 421 9.85
16 234 5.23
18 161 8.93
21 411 15.83
25 246 14.56
26 444 15.73
27 185 9.17
28 114 11.06
30 448 7.47
34 402 9.71
35 290 23.41
35 164 20.68
37 347 10.81
37 151 7.37
38 347 6.47
40 369 2.07
40 282 2.92
42 70 6.28
43 267 11.94
43 258 3.48
44 449 15.98
44 364 15.08
45 231 22.16
46 221 17.13
48 426 3.64
49 161 9.79
49 366 10.29
52 310 23.89
53 160 22.11
55 346 5.42
57 348 16.42
57 267 20.12
58 273 8.55
60 440 15.76
64 418 7.24
64 431 21.50
70 42 12.57
70 252 22.01
73 420 21.22
75 89 2.64
75 177 20.46
78 282 10.96
85 256 8.86
87 412 7.12
87 297 12.00
88 440 11.64
89 75 14.00
90 413 2.82
90 423 13.57
90 439 22.99
90 206 9.66
94 442 5.17
96 441 19.29
97 357 1.39
98 425 10.41
98 390 19.18
99 380 23.94
99 115 16.89
101 364 14.85
101 388 10.96
101 378 15.52
104 402 2.68
105 422 16.03
106 369 11.45
106 294 2.96
108 347 22.75
109 168 17.55
109 406 11.11
110 433 22.99
111 415 2.38
112 390 5.08
114 28 12.43
114 290 9.79
115 99 14.26
115 441 3.03
117 328 18.83
117 346 23.13
118 426 16.91
118 263 22.15
121 332 14.85
122 5 22.87
123 303 18.32
124 449 3.86
124 371 4.31
127 238 21.48
128 442 17.33
128 218 22.90
128 230 17.19
131 447 18.36
132 449 23.68
133 245 14.22
136 420 8.02
136 348 19.70
136 434 13.44
142 339 5.78
143 425 12.51
144 404 3.63
144 399 24.47
144 394 3.04
148 315 5.11
149 390 14.48
151 301 8.84
151 37 2.80
152 415 16.35
158 404 5.71
159 445 6.81
160 375 2.28
160 53 24.69
161 192 23.54
161 442 19.10
161 18 1.15
161 49 13.51
162 334 14.76
162 422 22.43
163 437 6.12
163 238 20.21
164 449 18.61
164 35 8.76
164 342 12.03
166 405 15.94
167 256 2.54
167 431 13.24
168 109 17.15
168 391 18.83
168 234 5.38
168 408 11.48
169 371 22.28
169 445 15.54
171 366 15.91
171 435 10.93
173 352 23.64
174 324 21.69
174 433 10.45
176 421 1.14
176 335 21.14
177 75 24.06
179 318 9.24
181 404 15.57
182 387 3.76
183 431 15.32
185 27 23.36
186 437 17.89
186 384 5.97
187 409 7.90
189 408 15.94
190 445 9.20
192 161 4.73
192 364 21.96
193 338 13.48
194 390 21.29
194 361 14.96
200 405 5.96
203 424 10.87
203 260 8.39
204 404 9.13
204 401 20.89
204 425 22.04
205 432 22.37
205 428 18.85
205 274 22.51
205 440 15.86
206 90 11.92
208 342 20.04
208 275 4.79
208 386 17.09
208 310 14.74
209 277 7.64
209 367 6.98
209 238 16.15
210 442 11.26
210 419 5.32
216 299 3.11
218 261 15.43
218 128 16.70
220 422 8.32
221 449 16.87
221 46 23.87
221 222 16.28
222 221 12.78
222 315 24.35
223 425 15.62
224 285 8.28
224 441 9.59
224 447 11.56
226 406 24.49
226 269 23.74
226 445 24.42
227 251 13.45
228 358 5.92
228 392 3.40
230 128 9.59
231 403 21.13
231 45 22.31
234 168 24.94
234 16 5.68
235 400 16.12
235 290 23.31
236 395 16.91
236 413 18.57
237 442 18.26
237 425 16.95
237 401 4.34
238 252 5.59
238 425 22.19
238 209 23.37
238 163 22.72
238 127 16.66
239 354 21.02
239 445 6.74
239 353 1.07
239 300 20.05
240 430 15.96
240 378 17.33
240 436 22.87
240 418 10.58
241 434 18.75
242 8 19.28
242 292 17.59
244 363 2.02
245 133 17.52
246 25 20.00
246 414 11.63
246 342 21.34
247 448 8.89
248 252 24.85
250 395 15.28
251 376 18.74
251 227 19.10
252 248 24.77
252 238 2.62
252 70 2.97
253 333 24.82
256 85 20.89
256 167 21.00
257 422 3.95
257 406 8.45
258 289 5.52
258 43 22.87
258 447 4.22
258 362 10.70
260 281 23.51
260 203 8.71
261 218 17.12
263 118 7.12
264 342 17.65
265 434 1.90
265 11 21.33
265 420 23.34
266 302 13.88
267 57 12.06
267 43 1.66
269 226 3.86
270 316 14.02
270 412 11.87
272 433 21.70
272 448 17.01
272 340 7.78
273 58 11.96
273 294 2.15
274 416 22.94
274 275 23.91
274 205 18.63
275 208 18.61
275 274 3.32
276 438 8.01
276 366 7.22
276 410 24.51
276 443 15.50
277 429 23.01
277 418 7.82
277 209 4.96
278 376 10.01
278 297 7.88
279 407 4.11
280 443 19.29
280 386 5.88
281 260 22.39
282 78 5.99
282 40 10.00
282 442 6.85
283 413 21.69
284 419 20.95
285 224 11.86
285 424 12.97
287 377 16.44
287 332 20.66
287 358 15.00
289 437 14.47
289 258 22.20
290 235 11.74
290 114 19.60
290 405 10.58
290 35 5.88
291 369 19.41
292 242 16.02
292 298 12.17
292 410 1.05
293 446 20.70
293 440 20.15
294 273 22.74
294 388 23.68
294 106 20.02
294 366 17.60
296 384 4.79
296 398 8.30
296 423 15.90
297 278 18.63
297 415 18.07
297 323 20.08
297 395 3.52
297 87 5.48
298 292 8.58
299 406 2.85
299 216 1.87
299 392 21.85
300 335 11.12
300 239 14.52
300 333 10.30
301 151 18.34
302 438 3.98
302 433 17.92
302 266 3.15
303 123 15.53
303 380 10.71
304 413 10.61
305 403 11.21
305 340 6.49
305 386 23.53
306 400 17.53
308 317 14.89
308 432 16.50
308 411 7.29
309 435 10.15
310 52 9.63
310 208 5.60
310 429 14.66
311 403 19.97
311 374 16.49
312 394 7.95
313 444 23.25
313 376 6.02
314 392 14.59
314 445 1.44
315 439 5.56
315 148 8.23
315 222 24.15
315 446 21.64
315 397 10.30
316 270 2.22
316 427 4.86
317 8 13.56
317 308 22.03
317 432 11.52
318 423 14.45
318 179 7.12
318 443 1.78
319 445 12.78
319 437 4.02
320 382 14.04
320 336 19.32
320 322 21.72
320 381 7.01
321 388 15.92
321 428 16.04
322 410 15.77
322 320 2.58
323 297 17.19
324 174 20.95
326 445 8.84
327 428 18.02
327 448 4.80
328 338 22.75
328 117 6.26
328 346 15.08
330 444 4.28
330 381 8.57
330 354 11.48
331 398 4.86
331 429 1.98
331 446 20.27
332 121 4.28
332 287 8.13
333 300 19.25
333 253 18.84
334 162 14.34
334 387 17.68
335 300 12.31
335 176 7.97
336 320 17.79
336 422 11.58
336 380 3.45
337 383 15.20
337 411 20.63
337 423 6.02
338 426 21.54
338 345 21.61
338 193 8.65
338 328 4.56
339 414 17.32
339 356 14.76
339 142 7.61
339 444 24.39
340 305 3.50
340 420 15.62
340 272 5.59
341 378 8.58
342 164 9.15
342 264 14.17
342 246 4.99
342 208 20.84
343 369 2.35
343 427 24.53
343 432 4.19
344 411 3.66
345 369 18.76
345 435 2.38
345 338 8.44
346 117 24.60
346 55 1.78
346 328 3.24
346 426 13.82
347 405 3.38
347 38 24.25
347 37 12.58
347 108 16.03
348 443 12.63
348 136 13.23
348 57 18.38
348 364 11.64
349 439 24.98
349 351 7.72
349 440 20.96
350 436 19.74
351 349 7.24
351 433 23.10
352 383 22.70
352 437 19.56
352 173 2.48
353 239 23.95
354 330 4.62
354 416 23.90
354 239 20.68
354 446 15.01
355 449 4.35
355 429 16.17
356 365 2.77
356 436 8.16
356 339 14.38
357 446 18.64
357 97 14.73
357 398 18.97
358 401 7.27
358 287 19.79
358 402 24.66
358 439 18.72
358 411 22.62
358 228 4.42
359 444 19.29
359 390 19.61
359 424 22.50
361 418 6.36
361 194 5.03
362 393 2.85
362 258 2.13
363 433 19.43
363 244 1.97
363 447 11.43
364 101 14.55
364 192 22.45
364 44 7.89
364 440 21.35
364 348 19.98
365 356 2.09
365 433 16.72
366 49 8.97
366 171 10.73
366 436 13.21
366 276 20.49
366 294 20.32
366 415 10.31
367 209 16.54
368 378 7.35
369 106 12.07
369 291 13.51
369 345 13.37
369 40 4.41
369 343 13.89
370 449 18.23
370 441 1.07
371 169 10.21
371 406 22.07
371 441 23.83
371 124 5.16
372 424 9.63
373 443 5.93
373 432 2.63
373 437 23.62
373 439 11.73
373 445 13.03
374 422 7.48
374 311 19.32
375 412 15.67
375 160 10.74
376 439 14.02
376 251 12.21
376 313 13.02
376 278 1.95
377 287 20.42
378 101 23.05
378 407 3.64
378 368 4.81
378 240 3.40
378 438 16.45
378 341 13.48
379 443 2.00
380 412 13.15
380 444 2.98
380 303 19.36
380 99 1.54
380 336 6.08
381 330 16.00
381 436 9.36
381 320 2.71
381 446 10.01
381 429 3.15
382 320 11.46
383 401 8.92
383 444 4.55
383 352 20.02
383 337 7.42
383 403 1.22
384 400 15.56
384 385 21.96
384 186 20.43
384 296 14.28
385 435 22.28
385 384 1.64
386 410 5.44
386 208 12.48
386 444 7.93
386 305 8.15
386 280 22.76
387 334 19.99
387 427 16.62
387 182 3.45
387 431 11.88
388 321 10.46
388 294 19.13
388 405 3.78
388 435 6.02
388 391 10.20
388 101 2.58
389 437 5.97
390 112 8.44
390 359 16.42
390 194 14.42
390 149 2.18
390 421 10.95
390 98 16.55
391 421 23.75
391 388 15.07
391 168 23.67
392 314 22.06
